geometry,id,ID,height_mean,height_min,height_max,Shape_Leng,Shape_Area,BNG_Area
"POLYGON ((-1.18871433326168 52.9075475452531,-1.18874327518357 52.9074308810968,-1.18885830894734 52.9074415541226,-1.18882863220356 52.9075577642415,-1.18871433326168 52.9075475452531))",3932040,0D4F70AF520227B3E050A00A568A259B,5.03703703704,0.0,7.0,69.29489096,280.62376572,102.165262652
"POLYGON ((-1.18844381998684 52.9073512591575,-1.18847320028663 52.9072270469281,-1.18858037738491 52.9072364078118,-1.18854980412245 52.9073607917584,-1.18844381998684 52.9073512591575))",3932041,0D4F70AF520327B3E050A00A568A259B,4.57692307692,0.0,7.0,70.3520385349,278.020444551,101.218422819
"POLYGON ((-1.18385986082312 52.9008171454731,-1.18370651570911 52.9007260190316,-1.18377600309135 52.9006831674895,-1.18392889814938 52.900774560075,-1.18385986082312 52.9008171454731))",3932042,0D4F70AF520427B3E050A00A568A259B,4.4,0.0,8.0,69.9789792968,264.233659058,96.2280962473
"POLYGON ((-1.18375058076852 52.9012848316209,-1.18377265147665 52.9014157782428,-1.18367739053062 52.9014218665055,-1.18365531982246 52.9012909193602,-1.18375058076852 52.9012848316209))",3932043,0D4F70AF520527B3E050A00A568A259B,5.15384615385,0.0,9.0,69.9095497981,259.031152342,94.3308456244
"POLYGON ((-1.18463393101854 52.9017853097471,-1.18454624017537 52.9019029183745,-1.18446045376062 52.9018794065362,-1.18454814460382 52.9017617983869,-1.18463393101854 52.9017853097471))",3932044,0D4F70AF520627B3E050A00A568A259B,4.34782608696,0.0,8.0,68.5768783544,249.63419652,90.9067613843
"POLYGON ((-1.18317794430029 52.9015761990193,-1.18324151986967 52.901452492578,-1.18333011351966 52.9014689226352,-1.18326683708925 52.9015925412498,-1.18317794430029 52.9015761990193))",3932045,0D4F70AF520727B3E050A00A568A259B,4.82608695652,0.0,8.0,68.4415606284,246.808899663,89.8792016274
"POLYGON ((-1.18225916808889 52.9005971413275,-1.1817867341993 52.9004697474086,-1.18184349694557 52.9003921999437,-1.18231681837065 52.9005197799501,-1.18225916808889 52.9005971413275))",3932046,0D4F70AF520827B3E050A00A568A259B,3.23170731707,0.0,5.0,146.615113857,902.273446213,328.592133315
"POLYGON ((-1.18014343526925 52.9007206448451,-1.18000998514378 52.9008204053071,-1.17993706799383 52.9007848435168,-1.18006978239907 52.9006846288923,-1.18014343526925 52.9007206448451))",3932047,0D4F70AF520927B3E050A00A568A259B,4.47619047619,0.0,8.0,68.3206771089,248.385033726,90.4564272136
"POLYGON ((-1.18166142550033 52.9104643455517,-1.18180013885507 52.9103628217147,-1.1818752712505 52.9104001948097,-1.18173729271769 52.9105021736205,-1.18166142550033 52.9104643455517))",3932048,0D4F70AF520A27B3E050A00A568A259B,4.21739130435,0.0,8.0,70.3781075678,264.748663051,96.3728061484
"POLYGON ((-1.18054571162854 52.9106318626401,-1.18050724217484 52.9105113198094,-1.18071378641837 52.9104874832648,-1.1807513593534 52.9106082899883,-1.18054571162854 52.9106318626401))",3932049,0D4F70AF520B27B3E050A00A568A259B,5.20408163265,0.0,10.0,92.0601921407,529.574450151,192.772599318
"POLYGON ((-1.17981865296649 52.9104467021569,-1.18020996179946 52.9103554621576,-1.18027539688139 52.9104574930807,-1.17988245401289 52.9105486321016,-1.17981865296649 52.9104467021569))",3932050,0D4F70AF520C27B3E050A00A568A259B,5.48235294118,0.0,10.0,133.87324543,942.799139882,343.193976282
"POLYGON ((-1.18038049527815 52.9103409066459,-1.18058064172019 52.9103724007843,-1.18053476475855 52.9104790581266,-1.1803353522401 52.9104480185858,-1.18038049527815 52.9103409066459))",3932051,0D4F70AF520D27B3E050A00A568A259B,5.36363636364,0.0,10.0,86.6920906178,468.018577675,170.36656676
"POLYGON ((-1.18235432482504 52.9113193270342,-1.1823227014321 52.9112613977041,-1.18246823120317 52.9112322845759,-1.18249985549441 52.9112902134032,-1.18235432482504 52.9113193270342))",3932052,0D4F70AF520E27B3E050A00A568A259B,0.25,0.0,1.0,56.6527747886,192.154901657,69.9447812054
