helper,shadowed_length,shadowgeom,osm_id,full_length,src_id,dst_id,edgegeom,tags,parsing_direction
false,23.4405904716976,"LINESTRING (-1.18984778959021 52.9094147773903,-1.18983512879514 52.9094237631453,-1.18976667409849 52.9094742919237,-1.18969304022784 52.9094945550883,-1.18963131787723 52.9095195934044,-1.18957416725845 52.9095390906417)",103039875,51.40324837864425,1,287,"LINESTRING (-1.19011730309117 52.9092234941782,-1.18983512879514 52.9094237631453,-1.18976667409849 52.9094742919237,-1.18969304022784 52.9094945550883,-1.18963131787723 52.9095195934044,-1.18957416725845 52.9095390906417)","Dict{String, Any}(""lanes:both_ways"" => missing, ""lanes:backward"" => missing, ""oneway"" => false, ""lanes"" => missing, ""surface"" => ""asphalt"", ""lanes:forward"" => missing, ""name"" => ""Alwood Grove"", ""source:name"" => ""survey"", ""reverseway"" => false, ""highway"" => ""residential"", ""width"" => missing, ""source"" => ""survey;Bing"", ""maxspeed"" => 50)",-1
false,29.964984266926404,"MULTILINESTRING ((-1.18996079158115 52.909191904455,-1.189704842493 52.909083259959),(-1.18955799490314 52.9090124983611,-1.18945507777184 52.9089619010728))",38074709,49.75579802389336,1,785,"LINESTRING (-1.19004780618235 52.9092288399003,-1.18968350285448 52.9090742017241,-1.18945507777184 52.9089619010728)","Dict{String, Any}(""lanes:both_ways"" => missing, ""lanes:backward"" => missing, ""oneway"" => false, ""lanes"" => missing, ""surface"" => ""asphalt"", ""lanes:forward"" => missing, ""name"" => ""Village Road"", ""source:name"" => ""OS OpenData StreetView"", ""reverseway"" => false, ""highway"" => ""residential"", ""width"" => missing, ""source"" => ""GPS;Yahoo"", ""maxspeed"" => 48)",1
false,9.93947696713074,"LINESTRING (-1.19035617592527 52.9092784812561,-1.19039309319644 52.9092904083697,-1.19048403871663 52.9093231851692)",38074709,30.159441162481244,1,1053,"LINESTRING (-1.19010686696889 52.909177057113,-1.19034891652582 52.9092761359104,-1.19039309319644 52.9092904083697,-1.19048403871663 52.9093231851692)","Dict{String, Any}(""lanes:both_ways"" => missing, ""lanes:backward"" => missing, ""oneway"" => false, ""lanes"" => missing, ""surface"" => ""asphalt"", ""lanes:forward"" => missing, ""name"" => ""Village Road"", ""source:name"" => ""OS OpenData StreetView"", ""reverseway"" => false, ""highway"" => ""residential"", ""width"" => missing, ""source"" => ""GPS;Yahoo"", ""maxspeed"" => 48)",-1
false,1.1042336307211778,"LINESTRING (-1.19404899395585 52.905738557359,-1.19406536911113 52.9057392190946)",103153608,9.177690420765312,2,811,"LINESTRING (-1.19392926920903 52.9057337190985,-1.19406536911113 52.9057392190946)","Dict{String, Any}(""lanes:both_ways"" => missing, ""lanes:backward"" => missing, ""oneway"" => false, ""lanes"" => missing, ""surface"" => ""asphalt"", ""lanes:forward"" => missing, ""name"" => ""Myrtus Close"", ""source:name"" => ""survey"", ""reverseway"" => false, ""highway"" => ""residential"", ""width"" => missing, ""source"" => ""Bing"", ""maxspeed"" => 50)",-1
false,0.0,,29384237,30.944549857811083,3,417,"LINESTRING (-1.17543859745257 52.9084485780858,-1.17552366708856 52.9083814178978,-1.17571125222265 52.9082246647007)","Dict{String, Any}(""lanes:both_ways"" => missing, ""lanes:backward"" => missing, ""oneway"" => false, ""lanes"" => missing, ""surface"" => ""asphalt"", ""lanes:forward"" => missing, ""name"" => ""Greencroft"", ""source:name"" => ""survey"", ""reverseway"" => false, ""highway"" => ""residential"", ""sidewalk"" => ""both"", ""width"" => missing, ""cycleway:both"" => ""no"", ""source"" => ""Yahoo"", ""source:maxspeed"" => ""survey"", ""maxspeed"" => 32)",-1
false,0.0,,29384237,92.44700368180358,3,652,"LINESTRING (-1.17552121353461 52.9084868132513,-1.17535369431549 52.9086191594983,-1.17474727639023 52.9091728632826)","Dict{String, Any}(""lanes:both_ways"" => missing, ""lanes:backward"" => missing, ""oneway"" => false, ""lanes"" => missing, ""surface"" => ""asphalt"", ""lanes:forward"" => missing, ""name"" => ""Greencroft"", ""source:name"" => ""survey"", ""reverseway"" => false, ""highway"" => ""residential"", ""sidewalk"" => ""both"", ""width"" => missing, ""cycleway:both"" => ""no"", ""source"" => ""Yahoo"", ""source:maxspeed"" => ""survey"", ""maxspeed"" => 32)",1
false,86.83020067351538,"LINESTRING (-1.17561742224995 52.9086097963162,-1.17561742232392 52.9086715489081,-1.17539143534897 52.9089479377394,-1.17536744849952 52.9089772701729,-1.17530352909673 52.9090554341022,-1.1752370055015 52.9091464003574,-1.1751093803086 52.909320917499)",29384453,107.26768834378578,3,1400,"LINESTRING (-1.1755198304296 52.908447540957,-1.1756174221402 52.9085181950065,-1.17561742232392 52.9086715489081,-1.17539143534897 52.9089479377394,-1.17530352909673 52.9090554341022,-1.1751093803086 52.909320917499)","Dict{String, Any}(""lanes:both_ways"" => missing, ""lanes:backward"" => missing, ""oneway"" => false, ""lanes"" => missing, ""surface"" => ""asphalt"", ""lanes:forward"" => missing, ""name"" => ""Greencroft"", ""source:name"" => ""survey"", ""reverseway"" => false, ""highway"" => ""residential"", ""width"" => missing, ""source"" => ""Yahoo"", ""maxspeed"" => 50)",1
false,41.24572737191843,"LINESTRING (-1.19745778363128 52.9086527301838,-1.1974069 52.9086291,-1.1970243 52.9085559,-1.19687869214166 52.908541320569)",29350583,128.98954130361724,4,24,"LINESTRING (-1.1979833 52.9089442,-1.1979483 52.9089384,-1.1978859 52.9089263,-1.1977409 52.9088368,-1.1976358 52.9087354,-1.1974069 52.9086291,-1.1970243 52.9085559,-1.1967137 52.9085248,-1.1963174 52.9084729)","Dict{String, Any}(""designation"" => ""public_bridleway"", ""lanes:backward"" => missing, ""oneway"" => false, ""lanes:both_ways"" => missing, ""lanes"" => missing, ""motor_vehicle"" => ""agricultural"", ""tracktype"" => ""grade2"", ""surface"" => ""compacted"", ""unadopted"" => ""yes"", ""lanes:forward"" => missing, ""horse"" => ""yes"", ""lit"" => ""no"", ""reverseway"" => false, ""highway"" => ""track"", ""width"" => missing, ""foot"" => ""yes"", ""bicycle"" => ""yes"", ""maxspeed"" => 8, ""est_width"" => ""2.5"")",-1
false,0.0,,168882410,64.59129135294404,4,1561,"LINESTRING (-1.1979833 52.9089442,-1.1980522 52.9089514,-1.1981133 52.9089494,-1.1982031 52.9089287,-1.1985962 52.9087938,-1.1988631 52.908741)","Dict{String, Any}(""designation"" => ""public_bridleway"", ""lanes:backward"" => missing, ""oneway"" => false, ""lanes:both_ways"" => missing, ""lanes"" => missing, ""tracktype"" => ""grade2"", ""surface"" => ""compacted"", ""lanes:forward"" => missing, ""horse"" => ""yes"", ""lit"" => ""no"", ""reverseway"" => false, ""highway"" => ""track"", ""width"" => missing, ""foot"" => ""yes"", ""bicycle"" => ""yes"", ""maxspeed"" => 50, ""est_width"" => ""2.5"")",-1
false,0.0,,257362816,4.262471358236921,4,1569,"LINESTRING (-1.1979833 52.9089442,-1.1979301 52.908965)","Dict{String, Any}(""designation"" => ""public_bridleway"", ""lanes:backward"" => missing, ""oneway"" => false, ""lanes:both_ways"" => missing, ""lanes"" => missing, ""surface"" => ""mud"", ""lanes:forward"" => missing, ""horse"" => ""yes"", ""lit"" => ""no"", ""reverseway"" => false, ""highway"" => ""bridleway"", ""width"" => missing, ""foot"" => ""yes"", ""bicycle"" => ""yes"", ""maxspeed"" => 50, ""est_width"" => ""2.5"")",1
false,0.0,,29349703,5.117441326815579,5,203,"LINESTRING (-1.1792246 52.9178511,-1.1791884 52.9178587,-1.1791725 52.9178794)","Dict{String, Any}(""designation"" => ""public_bridleway"", ""lanes:backward"" => missing, ""oneway"" => false, ""lanes:both_ways"" => missing, ""lanes"" => missing, ""surface"" => ""compacted"", ""lanes:forward"" => missing, ""horse"" => ""yes"", ""lit"" => ""no"", ""reverseway"" => false, ""highway"" => ""track"", ""width"" => missing, ""foot"" => ""yes"", ""bicycle"" => ""yes"", ""maxspeed"" => 50, ""est_width"" => ""1.25"")",-1
false,0.0,,29349703,24.08245355720411,5,598,"LINESTRING (-1.1792246 52.9178511,-1.1795107 52.917721)","Dict{String, Any}(""designation"" => ""public_bridleway"", ""lanes:backward"" => missing, ""oneway"" => false, ""lanes:both_ways"" => missing, ""lanes"" => missing, ""surface"" => ""compacted"", ""lanes:forward"" => missing, ""horse"" => ""yes"", ""lit"" => ""no"", ""reverseway"" => false, ""highway"" => ""track"", ""width"" => missing, ""foot"" => ""yes"", ""bicycle"" => ""yes"", ""maxspeed"" => 50, ""est_width"" => ""1.25"")",1
true,,,,,5,1632,,,
true,,,,,5,1633,,,
false,10.632914840830729,"LINESTRING (-1.1782595 52.902337,-1.1783167 52.9023251,-1.17839 52.9022862)",702049783,10.632914832496695,6,165,"LINESTRING (-1.1782595 52.902337,-1.1783167 52.9023251,-1.17839 52.9022862)","Dict{String, Any}(""lanes:both_ways"" => missing, ""lanes:backward"" => missing, ""oneway"" => false, ""lanes"" => missing, ""surface"" => ""paving_stones"", ""lanes:forward"" => missing, ""segregated"" => ""no"", ""lit"" => ""yes"", ""reverseway"" => false, ""highway"" => ""path"", ""width"" => missing, ""foot"" => ""designated"", ""bicycle"" => ""designated"", ""maxspeed"" => 50)",1
