pointgeom,helper,osm_id,lat,vertex_id,lon
POINT (-1.1900777 52.9092031),false,322853240,52.9092031,1,-1.1900777
POINT (-1.1939258 52.9057651),false,1191086510,52.9057651,2,-1.1939258
POINT (-1.1754799 52.9084677),false,323205017,52.9084677,3,-1.1754799
POINT (-1.1979833 52.9089442),false,322856298,52.9089442,4,-1.1979833
POINT (-1.1792246 52.9178511),false,6727637180,52.9178511,5,-1.1792246
POINT (-1.1782595 52.902337),false,6592930108,52.902337,6,-1.1782595
POINT (-1.188512 52.8973576),false,8831257244,52.8973576,7,-1.188512
POINT (-1.1908437 52.8975337),false,3714072433,52.8975337,8,-1.1908437
POINT (-1.1834222 52.9078677),false,323226498,52.9078677,9,-1.1834222
POINT (-1.1955957 52.9084367),false,322855811,52.9084367,10,-1.1955957
POINT (-1.1743812 52.9072781),false,3559492078,52.9072781,11,-1.1743812
POINT (-1.1733909 52.8969914),false,6871996107,52.8969914,12,-1.1733909
POINT (-1.1751084 52.9003213),false,323234850,52.9003213,13,-1.1751084
POINT (-1.1778728 52.8897339),false,350276376,52.8897339,14,-1.1778728
POINT (-1.1671194 52.9199414),false,27259262,52.9199414,15,-1.1671194
POINT (-1.18054 52.9059754),false,8753537660,52.9059754,16,-1.18054
POINT (-1.1778747 52.9020824),false,6592934162,52.9020824,17,-1.1778747
POINT (-1.1751299 52.8990815),false,323234170,52.8990815,18,-1.1751299
POINT (-1.181459 52.9118196),false,6695780946,52.9118196,19,-1.181459
POINT (-1.1910497 52.9043535),false,3441407774,52.9043535,20,-1.1910497
POINT (-1.1804914 52.9136453),false,1189737384,52.9136453,21,-1.1804914
POINT (-1.1723007 52.8988704),false,323235952,52.8988704,22,-1.1723007
POINT (-1.1805527 52.897479),false,6501823010,52.897479,23,-1.1805527
POINT (-1.1963174 52.9084729),false,2629208625,52.9084729,24,-1.1963174
POINT (-1.1772716 52.9150494),false,3559573513,52.9150494,25,-1.1772716
POINT (-1.1751788 52.914882),false,2309972362,52.914882,26,-1.1751788
