geometry,id
"POLYGON ((-1.1885986705849 52.9074618327138,-1.18874327022184 52.9074308726263,-1.18874327743814 52.9074308722148,-1.18885831120189 52.9074415452406,-1.18885832374477 52.9074415532788,-1.18885832217742 52.907441554763,-1.1888583236364 52.9074415554937,-1.18882864689266 52.9075577656127,-1.18882863716532 52.907557772712,-1.18868403716671 52.9075887329027,-1.18868403003063 52.9075887333216,-1.18856973104126 52.9075785141941,-1.18856971842201 52.907578506173,-1.18856971997426 52.9075785046986,-1.18856971851689 52.9075785039719,-1.18859866084791 52.9074618398514,-1.1885986705849 52.9074618327138))",3932040
"POLYGON ((-1.188341804759 52.9072551701697,-1.18847319532497 52.9072270384576,-1.18847320241173 52.9072270380344,-1.18858037951 52.9072363989182,-1.18858039217598 52.9072364069286,-1.18858039062474 52.9072364084048,-1.1885803920865 52.9072364091327,-1.18854981882408 52.9073607930793,-1.18854980908414 52.9073608002289,-1.1884184181631 52.9073889320252,-1.18841841101432 52.9073889324428,-1.18831242683886 52.9073793997247,-1.18831241423184 52.9073793917009,-1.18831241573847 52.9073793902705,-1.18831241431261 52.9073793895645,-1.18834179500728 52.9072551773681,-1.188341804759 52.9072551701697))",3932041
"POLYGON ((-1.18358021001742 52.9007530636164,-1.18358020751713 52.9007530630962,-1.1835802094355 52.9007530519728,-1.18364969698558 52.9007102005048,-1.18364970263654 52.9007101983254,-1.18377599813137 52.9006831590188,-1.1837760135388 52.900683161099,-1.18392890859682 52.9007745536845,-1.18392890821107 52.9007745547292,-1.1839289106781 52.9007745552424,-1.18392890876173 52.9007745663655,-1.18385987143547 52.9008171517635,-1.18385986578314 52.9008171539438,-1.18373356995092 52.9008441933389,-1.18373355457443 52.9008441912772,-1.18358020962992 52.9007530646731,-1.18358021001742 52.9007530636164))",3932042
"POLYGON ((-1.18362472038923 52.9014474586069,-1.18362471699123 52.9014474590725,-1.18352945595499 52.9014535472165,-1.18352943989923 52.9014535402658,-1.18352944055015 52.9014535395519,-1.18352943960849 52.9014535391914,-1.18350736933025 52.9013225920193,-1.18350737915467 52.9013225826375,-1.18365531486242 52.9012909108895,-1.18365531826055 52.901290910424,-1.18375057920658 52.9012848226847,-1.1837505952622 52.9012848296354,-1.18375059461129 52.9012848303493,-1.18375059555293 52.9012848307098,-1.18377266626111 52.9014157773317,-1.18377265643672 52.9014157867135,-1.18362472038923 52.9014474586069))",3932043
"POLYGON ((-1.18442144418605 52.9019296463319,-1.18442143309048 52.9019296460457,-1.1843356466905 52.9019061341174,-1.18433563797812 52.9019061255499,-1.18433564080117 52.9019061232407,-1.18433563927788 52.9019061222396,-1.18442333051297 52.901788514183,-1.18442333910064 52.9017885094056,-1.18454813964356 52.9017617899162,-1.18454815073898 52.9017617902024,-1.18463393715369 52.9017853015626,-1.1846339458662 52.9017853101301,-1.18463394304316 52.9017853124393,-1.18463394456647 52.9017853134404,-1.18454625372333 52.9019029220678,-1.18454624513564 52.9019029268451,-1.18442144418605 52.9019296463319))",3932044
"POLYGON ((-1.18310298639196 52.9014821412104,-1.1832415149097 52.9014524841073,-1.18324152422728 52.901452483987,-1.18333011787726 52.9014689140442,-1.18333012837733 52.9014689224434,-1.18333012615721 52.9014689243865,-1.18333012771628 52.9014689252921,-1.1832668512859 52.9015925439067,-1.18326684204924 52.9015925497205,-1.18312831310209 52.9016222068525,-1.18312830381913 52.9016222069792,-1.18303941102159 52.9016058646451,-1.18303940048727 52.9016058562504,-1.18303940272098 52.901605854293,-1.18303940115293 52.9016058533811,-1.18310297716028 52.9014821470145,-1.18310298639196 52.9014821412104))",3932045
"POLYGON ((-1.18169395753122 52.9004896053144,-1.18169396031649 52.9004896030289,-1.18169395879117 52.9004896020332,-1.181750721729 52.9004120546129,-1.18175073035854 52.9004120497791,-1.18184349198599 52.9003921914729,-1.181843502996 52.9003921917362,-1.18231682442102 52.9005197717426,-1.18231683321978 52.9005197803052,-1.18231683038364 52.9005197826326,-1.18231683191937 52.9005197836418,-1.18225918163763 52.9005971450192,-1.18225917304857 52.9005971497982,-1.18216641117347 52.9006170084283,-1.18216640016129 52.9006170081645,-1.1816939663277 52.9004896138771,-1.18169395753122 52.9004896053144))",3932046
"POLYGON ((-1.18000999010305 52.900820413778,-1.1798815048812 52.9008479172228,-1.17988149059232 52.9008479157464,-1.17980857350139 52.9008123538774,-1.17980857383821 52.9008123526856,-1.17980857071809 52.9008123520888,-1.17980857123108 52.9008123412661,-1.17994128601679 52.9007121267856,-1.17994129265748 52.9007121239316,-1.18006977743981 52.9006846204214,-1.18006979174363 52.9006846219051,-1.1801434446138 52.9007206378579,-1.18014344427387 52.9007206390562,-1.18014344740326 52.9007206396572,-1.18014344682338 52.9007206504963,-1.18000999669792 52.9008204109583,-1.18000999010305 52.900820413778))",3932047
"POLYGON ((-1.18167904525313 52.9103887310606,-1.18167905175263 52.9103887283125,-1.18180013389436 52.9103628132439,-1.18180014829945 52.9103628147757,-1.18187528069487 52.9104001878708,-1.18187528035128 52.9104001890516,-1.18187528341049 52.9104001896418,-1.181875282756 52.910400200499,-1.1817373042232 52.9105021793098,-1.1817372976784 52.9105021820913,-1.18161621511054 52.9105280970952,-1.18161620069209 52.9105280955567,-1.18154033353493 52.9104902674108,-1.18154033388163 52.9104902662233,-1.18154033081217 52.9104902656287,-1.18154033153251 52.9104902547559,-1.18167904525313 52.9103887310606))",3932048
"POLYGON ((-1.18035782551348 52.9105432877874,-1.18050723721437 52.9105113113386,-1.18050723938763 52.9105113109828,-1.18071378363112 52.9104874744382,-1.18071380076582 52.9104874809161,-1.18071380036768 52.910487481375,-1.18071380102654 52.9104874816043,-1.18075137396161 52.9106082883279,-1.18075136431393 52.9106082984592,-1.18060195245909 52.9106402752144,-1.18060195026763 52.9106402755722,-1.18039630231018 52.9106638479653,-1.18039628519123 52.9106638414798,-1.18039628556252 52.9106638410522,-1.18039628494611 52.9106638408388,-1.18035781587891 52.9105432979604,-1.18035782551348 52.9105432877874))",3932049
"POLYGON ((-1.18005255577394 52.9103891396606,-1.18005255616247 52.9103891395737,-1.18020995683907 52.9103554536868,-1.18020997565839 52.9103554589093,-1.18027541074035 52.9104574898324,-1.18027541066877 52.9104574899267,-1.18027541082747 52.9104574899717,-1.18027540220582 52.9104575014704,-1.17988245933726 52.9105486404912,-1.17988245897325 52.9105486405724,-1.17972505734232 52.9105823260243,-1.17972503847982 52.9105823207337,-1.17966123775344 52.910480390705,-1.17966123778659 52.9104803906619,-1.17966123771399 52.9104803906413,-1.17966124630674 52.9104803791408,-1.18005255577394 52.9103891396606))",3932050
"POLYGON ((-1.18058065456822 52.9103724021927,-1.18058065610589 52.9103724030457,-1.18053477914428 52.910479060388,-1.18053476971902 52.9104790665974,-1.1803807772564 52.9105120234621,-1.18038076858966 52.9105120236934,-1.18018135602991 52.9104809838944,-1.18018134488657 52.9104809755886,-1.18018134686151 52.9104809738177,-1.1801813453323 52.9104809729736,-1.1802264887845 52.9103738610928,-1.18022649822802 52.9103738548406,-1.18038049031773 52.910340898175,-1.18038049902237 52.9103408979496,-1.18058064546437 52.9103723920881,-1.18058065657068 52.9103724003998,-1.18058065456822 52.9103724021927))",3932051
"POLYGON ((-1.18231551879553 52.9112629254707,-1.18232269647118 52.9112613892333,-1.18232269676227 52.9112613891731,-1.18246822653332 52.9112322760449,-1.18246824526588 52.9112322816647,-1.18246824521457 52.9112322817288,-1.18246824531873 52.9112322817597,-1.18249986960999 52.911290210587,-1.18249986045536 52.9112902218739,-1.18249268278121 52.9112917581219,-1.18249268249017 52.9112917581821,-1.18234715181081 52.9113208718044,-1.18234713307819 52.9113208661846,-1.18234713312954 52.9113208661204,-1.18234713302528 52.9113208660895,-1.18231550964081 52.9112629367575,-1.18231551879553 52.9112629254707))",3932052
"POLYGON ((-1.18291385117216 52.9110376388406,-1.18291385090317 52.9110376388964,-1.18273144976379 52.9110743206868,-1.18273143101294 52.9110743150781,-1.18273143106169 52.9110743150171,-1.18273143096251 52.9110743149878,-1.18269793279801 52.9110132264779,-1.18269794194633 52.9110132151797,-1.18270792820129 52.9110110777737,-1.18270792846675 52.9110110777186,-1.1828901804683 52.9109743953193,-1.18289019922205 52.9109744009262,-1.18289019917881 52.9109744009803,-1.18289019926688 52.9109744010063,-1.18292384656417 52.9110354901069,-1.1829238374221 52.9110355014165,-1.18291385117216 52.9110376388406))",3932053
"POLYGON ((-1.1821766455851 52.9116267206977,-1.18212490993634 52.9115312571157,-1.18212491910118 52.9115312458474,-1.18218924993889 52.9115174773062,-1.18218925027989 52.911517477236,-1.18278708695688 52.9113992963472,-1.18274678985903 52.9113250930376,-1.18274679902086 52.911325081764,-1.18281112935592 52.9113113128857,-1.18281112968644 52.9113113128176,-1.18297158047435 52.9112795143679,-1.18297159917428 52.9112795200073,-1.18297159914384 52.9112795200453,-1.18297159920565 52.9112795200636,-1.18306564383277 52.9114499755813,-1.18306563469302 52.9114499868952,-1.18300130423321 52.911463755911,-1.18300130389104 52.9114637559814,-1.18217666432963 52.9116267264412,-1.18217664563933 52.9116267207958,-1.18217664569242 52.9116267207296,-1.1821766455851 52.9116267206977))",3932054
"POLYGON ((-1.18046970743751 52.9114845279853,-1.18033114502276 52.9115141818057,-1.18033112923803 52.9115141794936,-1.18025473122078 52.9114651097153,-1.1802547316236 52.9114651087103,-1.18025472933584 52.911465108217,-1.18025473191004 52.9114650969832,-1.18040052075764 52.9113829510754,-1.18040052593201 52.9113829491779,-1.18053908788059 52.911353295276,-1.18053910361909 52.9113532975585,-1.18061477590201 52.9114014626547,-1.1806147755033 52.9114014636594,-1.18061477780237 52.911401464152,-1.18061477534521 52.9114014753674,-1.18046971269807 52.9114845260389,-1.18046970743751 52.9114845279853))",3932055
"POLYGON ((-1.18020581461959 52.9114934182982,-1.18020581999376 52.9114934162861,-1.18034593033143 52.9114634313446,-1.18034594592192 52.9114634335343,-1.18042458354359 52.9115120687269,-1.18042458314689 52.9115120697592,-1.18042458554054 52.9115120702667,-1.18042458327625 52.9115120814505,-1.18027947750998 52.9115973789892,-1.18027947210792 52.9115973810176,-1.18013936129213 52.91162736588,-1.1801393456534 52.9116273636604,-1.18006071622067 52.911578278838,-1.18006071661659 52.9115782778186,-1.18006071426168 52.9115782773182,-1.18006071656417 52.9115782661281,-1.18020581461959 52.9114934182982))",3932056
"POLYGON ((-1.17730438437377 52.9083554765176,-1.17730438513792 52.9083554869833,-1.17724611681528 52.908409469102,-1.17724610932738 52.9084094726621,-1.17711093518011 52.9084383992966,-1.17711092207324 52.9084383983413,-1.1769412016662 52.9083711519595,-1.17694120192854 52.9083711506439,-1.17694119808598 52.9083711499645,-1.17694119744493 52.9083711394606,-1.17700020079541 52.9083176113266,-1.17700020820444 52.9083176078388,-1.17713538204946 52.9082886813297,-1.17713539514241 52.9082886822795,-1.17730438082381 52.9083554745512,-1.17730438056597 52.9083554758504,-1.17730438437377 52.9083554765176))",3932057
"POLYGON ((-1.17740857683309 52.9085849908782,-1.17727501456582 52.9086135726681,-1.17727500185992 52.9086135718663,-1.1771856680408 52.9085805918947,-1.17718566827117 52.9085805905604,-1.17718566421679 52.9085805898662,-1.17718566314483 52.9085805795,-1.17729246783384 52.9084761431053,-1.17729247551647 52.9084761393599,-1.17742603734953 52.9084475575497,-1.17742605010169 52.9084475583686,-1.1775146401584 52.9084805329018,-1.17751463992676 52.9084805342202,-1.17751464392145 52.9084805349021,-1.17751464503266 52.9084805452553,-1.17740858454023 52.9085849871087,-1.17740857683309 52.9085849908782))",3932058
"POLYGON ((-1.17726688825814 52.9087255929303,-1.17713082896269 52.9087547087949,-1.17713081625678 52.9087547079931,-1.17704148243842 52.9087217281267,-1.17704148266556 52.9087217268111,-1.17704147865864 52.9087217261312,-1.17704147746907 52.9087217158044,-1.17714605254543 52.9086172640373,-1.17714606030147 52.9086172602194,-1.17728211915604 52.9085881443367,-1.17728213175137 52.9085881450981,-1.1773707388761 52.9086202207392,-1.17737073865701 52.9086202220639,-1.17737074273407 52.9086202227511,-1.17737074400873 52.9086202330488,-1.17726689606684 52.9087255890594,-1.17726688825814 52.9087255929303))",3932059
"POLYGON ((-1.17952180770806 52.9090673601984,-1.17952180464541 52.9090673596003,-1.17952180549482 52.9090673486974,-1.17958888379678 52.9090191794265,-1.17958889020727 52.9090191767429,-1.17972869340944 52.908989256631,-1.17972870794269 52.9089892582278,-1.17988231805967 52.9090674463747,-1.17988231770373 52.9090674475588,-1.17988232072806 52.909067448152,-1.17988231980834 52.909067459071,-1.17981555342311 52.9091149121315,-1.17981554706151 52.9091149147801,-1.17967574351463 52.9091448349936,-1.17967572904433 52.9091448334287,-1.17952180735528 52.9090673613906,-1.17952180770806 52.9090673601984))",3932060
"POLYGON ((-1.17761777518449 52.9094092869466,-1.17761777129979 52.9094092862716,-1.17761777042332 52.9094092758416,-1.17767681683355 52.9093535007005,-1.17767682439301 52.9093534970735,-1.17776984506624 52.9093335910298,-1.17776985803285 52.90933359193,-1.17794035198561 52.9093994941151,-1.17794035173685 52.9093994954248,-1.17794035562153 52.9093994960998,-1.17794035649818 52.9093995065298,-1.17788131113281 52.9094552821742,-1.17788130357328 52.9094552858013,-1.17778828269045 52.9094751919318,-1.17778826972379 52.9094751910316,-1.17761777493572 52.9094092882563,-1.17761777518449 52.9094092869466))",3932061
"POLYGON ((-1.17815067011096 52.9094827537797,-1.17815067094186 52.9094827642243,-1.17809163366133 52.9095380901077,-1.1780916261309 52.9095380937074,-1.17799630835208 52.9095584915148,-1.17799629523408 52.9095584905554,-1.17782804713707 52.909491704848,-1.17782804739764 52.9094917035459,-1.17782804359242 52.9094917028766,-1.17782804288149 52.9094916923942,-1.17788781513245 52.9094368210046,-1.17788782258633 52.909436817476,-1.17798314014902 52.9094164197551,-1.17798315325301 52.909416420709,-1.17815066659567 52.909482751836,-1.17815066633953 52.9094827531221,-1.17815067011096 52.9094827537797))",3932062
"POLYGON ((-1.17776271561889 52.9095933372393,-1.17776271636253 52.9095933477115,-1.17770520801463 52.9096464365665,-1.17770520053975 52.9096464401145,-1.17758461726201 52.9096722441642,-1.17758460416532 52.9096722432132,-1.17741339973141 52.9096045371989,-1.17741339999005 52.9096045358971,-1.17741339617719 52.909604535228,-1.1774133954337 52.9096045247559,-1.17747090486154 52.9095514358764,-1.17747091233638 52.9095514323285,-1.17759149534619 52.9095256283937,-1.17759150844288 52.9095256293447,-1.17776271206472 52.9095933352685,-1.17776271180609 52.9095933365703,-1.17776271561889 52.9095933372393))",3932063
"POLYGON ((-1.17664802178689 52.9097920286859,-1.1766480114376 52.9097920285893,-1.17654956866498 52.9097688730477,-1.17654955919252 52.9097688645346,-1.17654956174895 52.9097688623835,-1.1765495602002 52.9097688614182,-1.17662233579777 52.9096556504082,-1.17662234469257 52.9096556451922,-1.17675091747994 52.9096281325943,-1.1767509278291 52.9096281326909,-1.17684937060785 52.9096512876449,-1.17684938008043 52.9096512961579,-1.17684937752401 52.909651298309,-1.17684937907279 52.9096512992743,-1.17677660385663 52.9097645108449,-1.17677659496182 52.9097645160608,-1.17664802178689 52.9097920286859))",3932064
"POLYGON ((-1.17572732353306 52.9080363666065,-1.17572733053549 52.9080363634693,-1.17581345900627 52.908017933359,-1.17581347271283 52.908017934565,-1.1758975235824 52.9080549239427,-1.17589752327404 52.9080549252237,-1.17589752680265 52.9080549258787,-1.17589752674523 52.9080549365836,-1.17577369937308 52.9081552089259,-1.17577369242226 52.908155212021,-1.17568756366232 52.9081736421021,-1.17568754985525 52.9081736408515,-1.17560498573577 52.9081366612514,-1.17560498604359 52.9081366600092,-1.17560498264174 52.908136659381,-1.17560498262188 52.9081366486971,-1.17572732353306 52.9080363666065))",3932065
"POLYGON ((-1.17581871379102 52.908593840237,-1.17581871028547 52.9085938396025,-1.17581870997493 52.9085938290002,-1.17587841579168 52.9085425537973,-1.17587842298627 52.908542550499,-1.17600699294918 52.9085150387009,-1.17600700652289 52.908515039849,-1.17616850654301 52.908584478287,-1.1761685062446 52.9085844795765,-1.17616850984281 52.9085844802372,-1.17616850994556 52.9085844908984,-1.1761073256915 52.9086353061273,-1.17610731863401 52.9086353093098,-1.17597874837856 52.9086628212159,-1.17597873479022 52.9086628200616,-1.17581871349989 52.9085938414895,-1.17581871379102 52.908593840237))",3932066
"POLYGON ((-1.17481996084026 52.908101093032,-1.17494478543122 52.9080743836605,-1.17494479538955 52.9080743836691,-1.17503512638131 52.9080938884676,-1.17503513624541 52.9080938969428,-1.17503513381812 52.9080938990158,-1.17503513537471 52.9080938999604,-1.17496140075779 52.9082183404977,-1.17496139172427 52.9082183459383,-1.1748365667297 52.9082450553266,-1.17483655673566 52.9082450553103,-1.17474697044823 52.9082255553497,-1.17474696061986 52.9082255468707,-1.17474696301791 52.9082255448255,-1.17474696147446 52.9082255438919,-1.17481995179067 52.9081010984999,-1.17481996084026 52.908101093032))",3932067
"POLYGON ((-1.17402246407969 52.9084297721231,-1.17402245360263 52.9084297719957,-1.17393438727045 52.908408484296,-1.17393437792812 52.9084084757716,-1.17393438053072 52.9084084735924,-1.17393437898486 52.90840847262,-1.17401475523 52.9082867756065,-1.17401476407472 52.9082867704677,-1.17413459667271 52.9082611302865,-1.17413460704838 52.9082611303895,-1.17422268147212 52.9082819683934,-1.17422269091683 52.9082819769091,-1.17422268830624 52.9082819791034,-1.17422268986591 52.9082819800834,-1.17414230591926 52.9084041267855,-1.17414229706776 52.9084041319347,-1.17402246407969 52.9084297721231))",3932068
"POLYGON ((-1.17352631927506 52.9081342294986,-1.17352630879161 52.9081342293696,-1.17343454319726 52.9081120167232,-1.17343453386163 52.9081120081982,-1.17343453647231 52.9081120060128,-1.17343453492517 52.9081120050383,-1.17351490397042 52.9079907579455,-1.17351491280828 52.9079907528171,-1.17363094812381 52.9079659255088,-1.17363095870362 52.9079659256613,-1.17372271442341 52.9079885874086,-1.17372272366152 52.9079885959414,-1.17372272105812 52.9079885981127,-1.17372272259227 52.9079885990802,-1.17364236379844 52.9081093970617,-1.17364235496746 52.9081094021798,-1.17352631927506 52.9081342294986))",3932069
"POLYGON ((-1.17586863626722 52.9092940987384,-1.17600989091382 52.9092638731632,-1.17600989931967 52.9092638728932,-1.17611147721876 52.9092785105719,-1.17611148861517 52.909278518836,-1.17611148665463 52.909278520611,-1.17611148820551 52.9092785214602,-1.17606314087688 52.9093972956462,-1.17606313140319 52.9093973019699,-1.1759218763596 52.9094275276077,-1.17592186793081 52.9094275278745,-1.17582103291584 52.9094128949919,-1.17582102154174 52.9094128867239,-1.17582102347448 52.9094128849756,-1.17582102193941 52.9094128841381,-1.17586862678091 52.9092941050934,-1.17586863626722 52.9092940987384))",3932070
"POLYGON ((-1.17546412214816 52.9090871057801,-1.17546411198597 52.9090871057265,-1.17537379716731 52.9090667024803,-1.1753737875071 52.9090666939845,-1.17537379004198 52.9090666918364,-1.17537378847751 52.9090666908683,-1.17545121381922 52.9089436245089,-1.17545122275256 52.9089436192324,-1.17558978029654 52.90891397109,-1.17558979045858 52.9089139711435,-1.17568010528062 52.9089343738007,-1.17568011494097 52.9089343822965,-1.1756801124061 52.9089343844447,-1.17568011397059 52.9089343854128,-1.17560268907452 52.9090574523469,-1.17560268014117 52.9090574576234,-1.17546412214816 52.9090871057801))",3932071
"POLYGON ((-1.17530318388801 52.9093656475364,-1.17530317390569 52.9093656475227,-1.17520306924461 52.909343917645,-1.1752030594039 52.9093439091672,-1.175203061887 52.9093439070486,-1.17520306031641 52.9093439060876,-1.17534902480401 52.9091038238479,-1.17534903379583 52.909103818477,-1.1754818890375 52.909075390735,-1.17548189909558 52.9090753907653,-1.17558110723896 52.9090972940139,-1.17558111700371 52.9090973024994,-1.17558111454596 52.9090973045904,-1.17558111610036 52.9090973055399,-1.17543604896161 52.9093372144613,-1.17543603996077 52.9093372198471,-1.17530318388801 52.9093656475364))",3932072
"POLYGON ((-1.1761455930492 52.9096261518621,-1.17614559999032 52.9096261487749,-1.17625326428711 52.9096031107545,-1.17625327823518 52.9096031120688,-1.17633877718898 52.9096423586504,-1.17633877687025 52.9096423598867,-1.17633878020891 52.9096423605114,-1.17633878002845 52.9096423712492,-1.17621649596199 52.9097395080651,-1.17621648909353 52.9097395110941,-1.17610882443903 52.9097625490806,-1.17610881045867 52.9097625477515,-1.17602478928509 52.9097237605857,-1.17602478959981 52.9097237593758,-1.17602478633305 52.9097237587688,-1.17602478640528 52.9097237480599,-1.1761455930492 52.9096261518621))",3932510
"POLYGON ((-1.17628700293064 52.9096131013985,-1.17628699245562 52.909613101272,-1.17618930157299 52.9095895014251,-1.17618929222762 52.9095894929011,-1.1761892948699 52.9095894906885,-1.17618929331375 52.9095894897044,-1.17626580313025 52.9094754054636,-1.17626581194543 52.9094754003689,-1.17636687242459 52.9094537752471,-1.17636688293488 52.9094537753822,-1.176463830917 52.9094773697906,-1.1764638402267 52.9094773783175,-1.17646383761559 52.9094773805011,-1.1764638391599 52.9094773814744,-1.17638807255384 52.9095914711362,-1.17638806371974 52.9095914762592,-1.17628700293064 52.9096131013985))",3932511
